,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
met1,78053.72403,38572.75465,333098.6309,49740.71037,62759.88816,51198.13148,156174.3356,127805.9866,230990.4459,233314.381,3893.570792,17083.98455,,24418.11134,425525.694,61327.57382,60028.24643,42595.70403,53157.84837,432617.6047,418712.2836,2113442.939,,,598998.522,41086.55361,186555.0957,168354,41449.61143,146480.8476,2039.80021,112496.9183,80149.73767,56460.22183,189568.6361,73409.23459,110032.2402,,,30374.18661,1201335.977,392276.1338,3088617.707,1487903.168,99129.07023,106448,1159405.15,83372.2728,,55910.35023
met2,1287830,660889.9735,3391255.262,1371652,1005420.838,1313695.501,3400529.536,1570106.809,6695419.633,10929285.52,2245913.022,1311220.617,261642.997,5046953.839,7778845.777,3204896.515,571632.5357,687140.0189,777489.942,26457172.85,6881061.11,15852248.8,1550833.418,2399196.031,17283388.25,2328830.32,1217462.639,4921523.342,934813.4316,1920107.357,549308.6166,1047399.635,4387499.981,1436485.555,5584857.22,966010.6681,3401118.155,16479198.58,8227157.921,998060.2705,15973484,17450340.1,10873649.6,20711458.95,2100120.435,3266689.382,29397225.25,7577492.122,198752.5193,1610543.529
met3,13038,14482,8303,17856,16951,987022,4786188,2133059,7940790,5435433,1851834,1465511,290195,1739758,1659381,4488091,5379955,5233260,763444,5778299,10894,6200,11529,11125,12492,13662,21107,17879,11280,25352,7649,12144,8267,8381,16683,2493880,4228757,5931241,8387947,2411130,11302,5781,34491,11037,17361,26395,4369836,23976,7537,61082
met4,20558.73316,8693.683695,78007.27942,24701.52038,15696.1179,,171968.6064,32446.12363,225385.9879,118826.784,20898.12949,28861.01165,,77753.0957,28621.90696,77832.29865,101656.6097,39769.6926,102382.8958,388996.5886,137852.8645,147647.7237,90612.78283,56881.03326,145322.2057,1210915.361,1114107.258,2160108.033,922527.8326,2015083.601,,,68490.12772,21888.71698,76077.00328,2010.68946,102760.2668,171828.7945,255557.8991,32141.10889,207192.9173,33719.06134,142666.9047,380477.3419,21228.44495,1186207.981,33280.58793,1079451.682,190342.322,817916.0059
met5,6286.808074,,51664.67981,15856.85363,,,121781.5299,14830.06563,93468.9383,82948.94634,280775.5102,667986.1835,78455.00964,502647.2817,533402.8507,394117.4962,445158.221,361810.7185,820933.1986,1413563.245,153036.0225,94746.31176,,14067.41491,111325.0322,810692.1098,584742.6699,1719242.918,196452,1089478.209,20049.19809,6605.789592,5064.578943,10660.18253,15457.93082,21110.69838,88027.02155,154500.7016,137850.6943,32651.38721,163430.5332,14856.18415,86948.81823,97020,15245.59039,703657.8317,157103.1633,726812.7435,,281494.1602
met6,10802429.84,8897013.53,6644992.833,10138668.98,8346790.348,11258941.03,5452593.328,13678426.16,9272256.381,12396713.1,10503586.12,7076847.718,2370701.494,15342641.6,6553339.874,9182962.615,4958497.34,4781833.935,9426924.225,13682701.83,6791500.752,2837824.634,5116393.962,8094273.702,13244110.52,3929865.729,9995658.805,14225841.26,4435599.325,5324298.409,10044949.53,9324959.591,14072021.43,7362907.018,12958288.67,10043140.88,20017246.02,7849765.887,11404417.49,9031754.059,2780707.121,2524408.64,167465.342,2955158.134,7751747.696,5494786.472,771322.4194,11964257.93,4108241.843,10528802.33
met7,26786,14029,59532,18285,44270,392181,1811679,600838,2584760,2117336,3314441,2495453,633702,3548460,3715862,5570992,3140657,3750650,3602084,13222318,527189,421889,189052,130250,295766,4616731,4613050,7303724,2353504,7625669,18274,11705,62285,30979,84886,502399,1660882,2876726,3584666,838467,412091,152923,454550,687326,146681,4834644,3166981,3066031,13006,2525993
met8,63334.15652,101100.2177,,49033.53696,,409674.421,2150211.256,588457.5481,5712376.871,2254848.042,,100553.6577,,213807,585165.452,197360.3709,297483.6185,135028.9793,256762.1177,247559.9371,23615.59017,13525.45908,31798.98177,12893.00181,33153.66088,50845.15924,187059.21,217138.0453,32254.19471,151436.0106,,47218.48597,33865.68955,2617.622677,,1001606.669,2740863.913,2287808.386,4609093.224,1471206.406,,50420.83427,10681.69399,16538.93368,,79437.82645,25752.75609,155697.0963,,65328.39073
met9,601079.1852,363784.5608,1431123.289,576739.2936,2226398.809,164061.6452,1297925.172,700649.4818,1656110.426,1431741.226,87887,67348,297243.9693,264314,56930.47332,178712,127381,130855,140932,1618660,28879,507328.794,57727,182778.1773,194012,2558152.364,2375172.54,7596420.392,1794803.651,3396561.607,235186.9989,277228.6304,2361881.453,1023443.043,2293844.664,608363.4345,1663938.888,1904824.03,3171942.077,1113737.171,141002,119610,25479.61419,126676,226880.6792,2210918.212,97791,642152,903759.488,2043528.687
met10,,,,,,,,,,,,,,,,,320181.6605,,,1076322.962,,,,,108350.1746,1874573.097,1902818.692,2267897.824,927810.9146,2760216.499,,,166655.4928,,,,,,806748.1268,,,,,,,1907311.514,,,,1151682.147
